release_id,region,language,filename,size,sha1,sha256,title,sgb_flag,cart_type,mapper,rom_size_code,ram_size_code,ram_bytes,destination_code,header_version,header_checksum,global_checksum,checksums_valid
ao-jp,Japan,ja,"Pocket Monsters - Ao (Japan) (SGB Enhanced).gb",524288,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,POKEMON BLUE,0x03,0x03,MBC1+RAM+BATTERY,0x04,0x03,32768,0x00,0,0xE5,0xDC36,true
blue-us-eu,USA/Europe,en,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,POKEMON BLUE,0x03,0x13,MBC3+RAM+BATTERY,0x05,0x03,32768,0x01,0,0xD3,0x9D0A,true
blue-fr,France,fr,"Pokemon - Version Bleue (France) (SGB Enhanced).gb",1048576,47faa910d0e073c600665bf9c83b6bd17babdf8a,73dee67befed0c39cd0a6ed53a98ff5b98b3bddc3e7a0dae1d982776a4d0889b,POKEMON BLUE,0x03,0x1B,MBC5+RAM+BATTERY,0x05,0x03,32768,0x01,0,0xCB,0x56A4,true
blue-de,Germany,de,"Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb",1048576,20e72dc6f41493eee1fdd0cef54214e6c3389688,2cfec2223090dc9f544aa36c99c48801be5018757a1366b88d8f40739541458e,POKEMON BLUE,0x03,0x1B,MBC5+RAM+BATTERY,0x05,0x03,32768,0x01,0,0xCB,0x2EBC,true
blue-it,Italy,it,"Pokemon - Versione Blu (Italy) (SGB Enhanced).gb",1048576,f69ed1a1332f04c24c7db899a09019bb045fa8b3,e197c7535135a516fe9bf92cf7821c9f72926bf90fce3a2a5742d1b0b6a0564b,POKEMON BLUE,0x03,0x1B,MBC5+RAM+BATTERY,0x05,0x03,32768,0x01,0,0xCB,0x5E9C,true
blue-es,Spain,es,"Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb",1048576,7715e7b133e8634df48918b9138374110212a108,31317f74fed2935dfc5fbb6ada766cf8515949c85c6c6e8d32d0f752b85b8f9e,POKEMON BLUE,0x03,0x1B,MBC5+RAM+BATTERY,0x05,0x03,32768,0x01,0,0xCB,0x14D7,true
