profile,file_offset,rom_bank,cpu_address,length,sha256,matches_in_rom,official_slots,missingno_slots
ao-jp,0x42784,0x10,0x6784,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
blue-us-eu,0x41024,0x10,0x5024,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
blue-fr,0x40FAA,0x10,0x4FAA,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
blue-de,0x40F96,0x10,0x4F96,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
blue-it,0x40FB6,0x10,0x4FB6,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
blue-es,0x40FB4,0x10,0x4FB4,190,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,1,151,39
